USPS	GEOID	ANSICODE	NAME	POP10	HU10	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                    
KS	20071	00485002	Greeley County	1247	629	2016176814	0	     778.450	       0.000	 38.480408	-101.805984                                                                                                 
KS	20073	00485003	Greenwood County	6689	4068	2961132699	24155799	    1143.300	       9.327	 37.878659	 -96.242232                                                                                       
KS	20075	00485327	Hamilton County	2690	1236	2580942885	2904549	     996.508	       1.121	 37.995244	-101.793689                                                                                         
KS	20077	00485004	Harper County	6034	3116	2075276375	3913474	     801.269	       1.511	 37.188184	 -98.066590                                                                                           
KS	20079	00485005	Harvey County	34684	14527	1397957172	2507542	     539.754	       0.968	 38.050144	 -97.436706                                                                                         
KS	20081	00485328	Haskell County	4256	1666	1495773065	910409	     577.521	       0.352	 37.558550	-100.876869                                                                                           
KS	20083	00485006	Hodgeman County	1916	973	2227369168	826344	     859.992	       0.319	 38.087493	 -99.898407                                                                                           
KS	20085	00485007	Jackson County	13462	5779	1699594134	4666496	     656.217	       1.802	 39.410989	 -95.794509                                                                                         
KS	20087	00485008	Jefferson County	19126	8160	1379359803	62427436	     532.574	      24.103	 39.239644	 -95.375314                                                                                      
KS	20089	00485009	Jewell County	3077	2032	2356321996	11859548	     909.781	       4.579	 39.777010	 -98.222584                                                                                          
KS	20091	00485010	Johnson County	544179	226571	1226034453	16890687	     473.375	       6.522	 38.883907	 -94.822330                                                                                     
KS	20093	00485011	Kearny County	3977	1556	2254697108	1133601	     870.543	       0.438	 37.994461	-101.308136                                                                                           
KS	20095	00485012	Kingman County	7858	3818	2236099115	8536481	     863.363	       3.296	 37.552951	 -98.144529                                                                                          
KS	20097	00485013	Kiowa County	2553	1220	1871626797	596764	     722.639	       0.230	 37.561231	 -99.286539                                                                                             
KS	20099	00485014	Labette County	21607	10092	1671305414	20261495	     645.295	       7.823	 37.191468	 -95.297473                                                                                       
