Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,45005,2087979.0000000,2285757.0000000,2458436.0000000,2536458.0000000,2701233.0000000,2681965.0000000,2751699.0000000,2703187.0000000,2879950.0000000,3083145.0000000,2651064.0000000,3333520.0000000,2997412.0000000,2516628.0000000,2328455.0000000,2364534.0000000,3171987.0000000,2610491.0000000,2257369.0000000,2647750.0000000,2820487.0000000,45
,45007,1801081.0000000,1971683.0000000,2120635.0000000,2187936.0000000,2330071.0000000,2313450.0000000,2373603.0000000,2331756.0000000,2484231.0000000,2659506.0000000,2286795.0000000,2875479.0000000,3623484.0000000,3042278.0000000,2814801.0000000,2858415.0000000,3474380.0000000,2859355.0000000,2472569.0000000,2900167.0000000,3089371.0000000,45
,45009,1676645.0000000,1835460.0000000,1974121.0000000,2036773.0000000,2169087.0000000,2153615.0000000,2209611.0000000,2170656.0000000,2312597.0000000,2475762.0000000,2128801.0000000,2676813.0000000,3170376.0000000,2661849.0000000,2462817.0000000,2500978.0000000,2717909.0000000,2236793.0000000,1934221.0000000,2268718.0000000,2416727.0000000,45
,45011,1588890.0000000,1739393.0000000,1870796.0000000,1930169.0000000,2055558.0000000,2040895.0000000,2093961.0000000,2057045.0000000,2191556.0000000,2346182.0000000,2017381.0000000,2536710.0000000,2726620.0000000,2289271.0000000,2118097.0000000,2150917.0000000,2432503.0000000,2001909.0000000,1731110.0000000,2030482.0000000,2162949.0000000,45
,45013,510089.8125000,558406.6250000,600591.8125000,619652.3750000,659906.8750000,655199.5000000,672235.5000000,660384.1250000,703567.1250000,753207.3125000,647650.5000000,814373.5000000,805269.3125000,676104.3125000,625550.6250000,635243.3750000,661755.6250000,544613.6250000,470943.5000000,552386.8125000,588424.0000000,45
,45015,571684.3750000,625835.6250000,673114.6250000,694477.0000000,739592.3125000,734316.5000000,753409.6250000,740127.1250000,788524.5000000,844158.8750000,725855.8750000,912711.1250000,971542.8125000,815707.5000000,754715.5000000,766409.6250000,763360.3125000,628232.5000000,543251.1250000,637199.1250000,678769.3750000,45
,45017,2038920.0000000,2232051.0000000,2400672.0000000,2476861.0000000,2637766.0000000,2618950.0000000,2687046.0000000,2639673.0000000,2812283.0000000,3010704.0000000,2588775.0000000,3255196.0000000,3041339.0000000,2553509.0000000,2362578.0000000,2399186.0000000,2519493.0000000,2073500.0000000,1793017.0000000,2103095.0000000,2240299.0000000,45
,45019,593558.8750000,649782.3125000,698870.3750000,721050.0000000,767891.6250000,762414.0000000,782237.8125000,768446.8750000,818696.3125000,876459.3125000,753629.6250000,947634.5000000,944363.8125000,792888.1250000,733602.3125000,744969.3125000,822470.3750000,676879.1250000,585317.3750000,686540.1250000,731329.3125000,45
,45021,446288.5937500,488562.0937500,525470.8125000,542147.3750000,577366.8125000,573248.3125000,588153.5000000,577784.3750000,615566.1250000,658997.3750000,566643.3750000,712513.0000000,744594.6250000,625161.8750000,578417.3125000,587379.6250000,1166986.0000000,960409.3750000,830494.3750000,974117.1250000,1037668.0000000,45
,45023,560555.1250000,613652.3125000,660010.8750000,680957.3125000,725194.3125000,720021.3125000,738742.8125000,725718.8125000,773174.0000000,827725.3125000,711725.3750000,894942.8750000,1076269.0000000,903635.6250000,836069.0000000,849023.6250000,1009064.0000000,830442.3750000,718108.0000000,842295.1250000,897245.6250000,45
,45025,1972209.0000000,2159021.0000000,2322125.0000000,2395821.0000000,2551461.0000000,2533261.0000000,2599129.0000000,2553306.0000000,2720269.0000000,2912197.0000000,2504073.0000000,3148690.0000000,3188454.0000000,2677027.0000000,2476860.0000000,2515239.0000000,2029064.0000000,1669885.0000000,1443999.0000000,1693719.0000000,1804216.0000000,45
,45027,2859957.0000000,3130859.0000000,3367381.0000000,3474250.0000000,3699947.0000000,3673555.0000000,3769072.0000000,3702623.0000000,3944740.0000000,4223061.0000000,3631229.0000000,4566006.0000000,4455141.0000000,3740538.0000000,3460850.0000000,3514475.0000000,4001299.0000000,3293001.0000000,2847555.0000000,3340002.0000000,3557900.0000000,45
,45029,1422367.0000000,1557097.0000000,1674729.0000000,1727879.0000000,1840127.0000000,1827001.0000000,1874505.0000000,1841458.0000000,1961872.0000000,2100292.0000000,1805950.0000000,2270852.0000000,2409782.0000000,2023254.0000000,1871971.0000000,1900977.0000000,2165437.0000000,1782118.0000000,1541050.0000000,1807554.0000000,1925477.0000000,45
,45031,3058684.0000000,3348410.0000000,3601367.0000000,3715662.0000000,3957042.0000000,3928815.0000000,4030970.0000000,3959904.0000000,4218844.0000000,4516505.0000000,3883549.0000000,4883280.0000000,4193950.0000000,3521242.0000000,3257951.0000000,3308433.0000000,4328686.0000000,3562435.0000000,3080543.0000000,3613282.0000000,3849009.0000000,45
,45033,2048834.0000000,2242905.0000000,2412346.0000000,2488905.0000000,2650592.0000000,2631684.0000000,2700111.0000000,2652509.0000000,2825958.0000000,3025344.0000000,2601363.0000000,3271025.0000000,3176319.0000000,2666838.0000000,2467433.0000000,2505666.0000000,3085277.0000000,2539130.0000000,2195661.0000000,2575371.0000000,2743386.0000000,45
,45035,700022.3750000,766330.1250000,824222.8750000,850380.8750000,905624.1250000,899164.0000000,922543.3750000,906279.0000000,965541.3125000,1033665.0000000,888804.0000000,1117607.0000000,1117204.0000000,938004.8125000,867868.3125000,881315.6250000,1371637.0000000,1128834.0000000,976136.3125000,1144946.0000000,1219641.0000000,45
,45037,927211.8750000,1015040.0000000,1091721.0000000,1126369.0000000,1199541.0000000,1190984.0000000,1221951.0000000,1200408.0000000,1278904.0000000,1369137.0000000,1177262.0000000,1480322.0000000,1363227.0000000,1144566.0000000,1058984.0000000,1075393.0000000,1352927.0000000,1113436.0000000,962820.8125000,1129328.0000000,1203004.0000000,45
,45039,221913.0000000,242933.2031250,261285.7031250,269577.9062500,287090.5000000,285042.5937500,292454.0937500,287298.0937500,306084.8125000,327680.5937500,281758.4062500,354290.8125000,376307.5937500,315947.9062500,292323.9062500,296853.4062500,305558.1875000,251469.2031250,217452.7968750,255058.4062500,271698.0937500,45
,45041,2990214.0000000,3273454.0000000,3520748.0000000,3632484.0000000,3868461.0000000,3840866.0000000,3940734.0000000,3871259.0000000,4124403.0000000,4415400.0000000,3796613.0000000,4773965.0000000,5195289.0000000,4361966.0000000,4035814.0000000,4098348.0000000,4889582.0000000,4024043.0000000,3479709.0000000,4081478.0000000,4347749.0000000,45
,45043,278870.4062500,305285.6875000,328348.5937500,338769.3125000,360776.6875000,358203.1875000,367516.9062500,361037.5937500,384646.0937500,411784.8125000,354076.0000000,445224.9062500,526664.5000000,442187.6875000,409124.4062500,415463.6875000,662919.3125000,545571.3125000,471771.5937500,553358.1250000,589458.6250000,45
,45045,687038.0000000,752115.8750000,808934.8125000,834607.5000000,888826.1250000,882485.8750000,905431.6250000,889468.8750000,947631.8750000,1014492.0000000,872318.0000000,1096877.0000000,1410520.0000000,1184273.0000000,1095723.0000000,1112700.0000000,1416924.0000000,1166105.0000000,1008365.0000000,1182748.0000000,1259910.0000000,45
