FIPS,State,County,Year,N,P
12083,Florida,Marion,2002,"3,580,985","919,826"
12085,Florida,Martin,2002,"1,444,067","451,581"
12086,Florida,Miami-Dade,2002,"265,575","71,450"
12087,Florida,Monroe,2002,0,0
12089,Florida,Nassau,2002,"1,259,363","354,715"
12091,Florida,Okaloosa,2002,"301,212","86,689"
12093,Florida,Okeechobee,2002,"7,626,226","2,055,617"
12095,Florida,Orange,2002,"648,319","205,164"
12097,Florida,Osceola,2002,"5,003,690","1,657,981"
12099,Florida,Palm Beach,2002,"455,937","117,220"
12101,Florida,Pasco,2002,"2,286,418","673,404"
12103,Florida,Pinellas,2002,"19,249","3,929"
12105,Florida,Polk,2002,"5,356,074","1,726,898"
12107,Florida,Putnam,2002,"678,477","163,761"
12109,Florida,Saint Johns,2002,"156,774","45,596"
12111,Florida,Saint Lucie,2002,"1,704,581","413,715"
12113,Florida,Santa Rosa,2002,"336,184","100,028"
12115,Florida,Sarasota,2002,"1,141,670","368,700"
12117,Florida,Seminole,2002,"297,337","92,313"
12119,Florida,Sumter,2002,"1,901,841","581,272"
12121,Florida,Suwannee,2002,"4,645,031","1,327,868"
12123,Florida,Taylor,2002,"432,441","115,528"
12125,Florida,Union,2002,"428,875","127,234"
12127,Florida,Volusia,2002,"747,141","173,657"
12129,Florida,Wakulla,2002,"67,185","20,632"
12131,Florida,Walton,2002,"1,132,748","343,023"
12133,Florida,Washington,2002,"391,223","116,940"
13001,Georgia,Appling,2002,"1,622,926","443,163"
13003,Georgia,Atkinson,2002,"1,674,302","512,758"
13005,Georgia,Bacon,2002,"1,251,569","428,326"
13007,Georgia,Baker,2002,"624,692","199,804"
13009,Georgia,Baldwin,2002,"428,182","113,368"
13011,Georgia,Banks,2002,"4,344,698","1,370,705"
13013,Georgia,Barrow,2002,"2,004,017","613,482"
13015,Georgia,Bartow,2002,"2,155,952","595,405"
13017,Georgia,Ben Hill,2002,"476,919","126,295"
13019,Georgia,Berrien,2002,"637,299","154,670"
13021,Georgia,Bibb,2002,"180,623","49,226"
13023,Georgia,Bleckley,2002,"303,146","97,251"
13025,Georgia,Brantley,2002,"538,001","199,108"
13027,Georgia,Brooks,2002,"949,729","252,601"
13029,Georgia,Bryan,2002,"30,297","9,333"
13031,Georgia,Bulloch,2002,"782,925","247,107"
13033,Georgia,Burke,2002,"963,173","265,630"
13035,Georgia,Butts,2002,"234,474","56,288"
13037,Georgia,Calhoun,2002,"426,899","127,778"
13039,Georgia,Camden,2002,"31,741","10,473"
13043,Georgia,Candler,2002,"378,802","96,608"
13045,Georgia,Carroll,2002,"4,183,748","1,279,626"
13047,Georgia,Catoosa,2002,"1,003,402","298,524"
13049,Georgia,Charlton,2002,"88,102","27,678"
13051,Georgia,Chatham,2002,"48,152","14,639"
13053,Georgia,Chattahoochee,2002,"2,268",429
13055,Georgia,Chattooga,2002,"545,243","139,353"
13057,Georgia,Cherokee,2002,"1,891,703","567,733"
13059,Georgia,Clarke,2002,"465,644","129,586"
13061,Georgia,Clay,2002,"126,895","41,196"
13063,Georgia,Clayton,2002,"31,861","8,407"
13065,Georgia,Clinch,2002,"71,759","21,979"
13067,Georgia,Cobb,2002,"78,928","19,532"
13069,Georgia,Coffee,2002,"3,537,957","1,023,738"
13071,Georgia,Colquitt,2002,"1,982,148","527,416"
13073,Georgia,Columbia,2002,"141,902","32,235"
13075,Georgia,Cook,2002,"296,913","71,204"
13077,Georgia,Coweta,2002,"420,424","96,648"
13079,Georgia,Crawford,2002,"356,260","96,523"
13081,Georgia,Crisp,2002,"309,982","74,262"
13083,Georgia,Dade,2002,"521,358","160,950"
13085,Georgia,Dawson,2002,"1,415,940","416,234"
13087,Georgia,Decatur,2002,"994,265","250,407"
13089,Georgia,DeKalb,2002,"18,654","3,932"
13091,Georgia,Dodge,2002,"578,509","180,611"
13093,Georgia,Dooly,2002,"1,015,795","285,578"
13095,Georgia,Dougherty,2002,"126,200","35,774"
13097,Georgia,Douglas,2002,"95,718","21,409"
13099,Georgia,Early,2002,"541,757","172,291"
13101,Georgia,Echols,2002,"40,215","13,022"
13103,Georgia,Effingham,2002,"196,853","58,468"
13105,Georgia,Elbert,2002,"1,333,991","394,602"
13107,Georgia,Emanuel,2002,"475,987","149,018"
13109,Georgia,Evans,2002,"668,457","199,752"
13111,Georgia,Fannin,2002,"527,421","152,456"
13113,Georgia,Fayette,2002,"176,578","53,173"
13115,Georgia,Floyd,2002,"1,542,463","405,079"
13117,Georgia,Forsyth,2002,"1,978,567","621,100"
13119,Georgia,Franklin,2002,"7,003,070","2,201,146"
13121,Georgia,Fulton,2002,"244,774","54,558"
13123,Georgia,Gilmer,2002,"3,910,711","1,185,648"
13125,Georgia,Glascock,2002,"167,071","40,820"
13127,Georgia,Glynn,2002,"39,931","12,110"
13129,Georgia,Gordon,2002,"3,953,059","1,231,072"
13131,Georgia,Grady,2002,"1,149,595","311,362"
13133,Georgia,Greene,2002,"1,154,972","318,061"
13135,Georgia,Gwinnett,2002,"223,206","51,643"
13137,Georgia,Habersham,2002,"4,411,663","1,352,982"
13139,Georgia,Hall,2002,"5,490,890","1,799,319"
13141,Georgia,Hancock,2002,"211,872","50,701"
13143,Georgia,Haralson,2002,"776,749","210,422"
13145,Georgia,Harris,2002,"280,152","85,536"
13147,Georgia,Hart,2002,"3,870,573","1,221,083"
13149,Georgia,Heard,2002,"1,031,592","314,505"
13151,Georgia,Henry,2002,"489,476","143,862"
13153,Georgia,Houston,2002,"690,614","197,853"
13155,Georgia,Irwin,2002,"396,215","123,877"
13157,Georgia,Jackson,2002,"5,838,768","1,898,298"
13159,Georgia,Jasper,2002,"1,308,769","464,646"
13161,Georgia,Jeff Davis,2002,"211,842","52,847"
13163,Georgia,Jefferson,2002,"581,726","168,667"
13165,Georgia,Jenkins,2002,"387,315","95,074"
13167,Georgia,Johnson,2002,"403,188","128,300"
13169,Georgia,Jones,2002,"398,881","110,006"
13171,Georgia,Lamar,2002,"804,362","234,001"
13173,Georgia,Lanier,2002,"103,862","32,726"
13175,Georgia,Laurens,2002,"681,422","211,499"
13177,Georgia,Lee,2002,"500,723","122,325"
13179,Georgia,Liberty,2002,"73,947","23,032"
13181,Georgia,Lincoln,2002,"307,622","92,341"
13183,Georgia,Long,2002,"242,038","70,367"
13185,Georgia,Lowndes,2002,"324,903","99,330"
13187,Georgia,Lumpkin,2002,"1,310,035","381,739"
13189,Georgia,McDuffie,2002,"497,295","118,604"
13191,Georgia,McIntosh,2002,"18,188","5,849"
13193,Georgia,Macon,2002,"2,338,707","614,728"
13195,Georgia,Madison,2002,"5,499,905","1,609,416"
13197,Georgia,Marion,2002,"537,905","165,784"
13199,Georgia,Meriwether,2002,"745,477","232,729"
13201,Georgia,Miller,2002,"678,787","177,623"
13205,Georgia,Mitchell,2002,"3,047,522","954,804"
13207,Georgia,Monroe,2002,"1,372,557","406,661"
13209,Georgia,Montgomery,2002,"236,021","56,999"
13211,Georgia,Morgan,2002,"2,249,445","644,862"
13213,Georgia,Murray,2002,"1,209,726","334,483"
13215,Georgia,Muscogee,2002,"74,688","21,110"
13217,Georgia,Newton,2002,"515,263","158,069"
13219,Georgia,Oconee,2002,"1,849,738","515,339"
13221,Georgia,Oglethorpe,2002,"3,165,730","1,014,060"
13223,Georgia,Paulding,2002,"570,599","171,329"
13225,Georgia,Peach,2002,"199,549","47,316"
13227,Georgia,Pickens,2002,"1,896,040","574,008"
13229,Georgia,Pierce,2002,"350,704","84,799"
13231,Georgia,Pike,2002,"629,917","159,907"
13233,Georgia,Polk,2002,"937,491","281,219"
13235,Georgia,Pulaski,2002,"95,495","29,148"
13237,Georgia,Putnam,2002,"965,826","201,390"
13239,Georgia,Quitman,2002,"52,332","16,069"
13241,Georgia,Rabun,2002,"426,503","130,254"
13243,Georgia,Randolph,2002,"231,524","57,176"
13245,Georgia,Richmond,2002,"116,670","27,399"
13247,Georgia,Rockdale,2002,"76,239","19,244"
13249,Georgia,Schley,2002,"441,049","133,569"
13251,Georgia,Screven,2002,"447,932","111,322"
13253,Georgia,Seminole,2002,"571,281","172,940"
13255,Georgia,Spaulding,2002,"289,748","68,381"
13257,Georgia,Stephens,2002,"1,368,511","395,973"
13259,Georgia,Stewart,2002,"63,049","20,916"
13261,Georgia,Sumter,2002,"995,256","259,244"
13263,Georgia,Talbot,2002,"206,324","49,388"
13265,Georgia,Taliaferro,2002,"209,959","52,337"
13267,Georgia,Tattnall,2002,"3,386,812","1,053,538"
13269,Georgia,Taylor,2002,"801,331","245,707"
13271,Georgia,Telfair,2002,"374,232","92,382"
13273,Georgia,Terrell,2002,"103,559","31,472"
13275,Georgia,Thomas,2002,"669,292","165,879"
13277,Georgia,Tift,2002,"472,947","149,963"
13279,Georgia,Toombs,2002,"622,756","188,773"
13281,Georgia,Towns,2002,"151,002","47,118"
13283,Georgia,Treutlen,2002,"84,980","25,241"
13285,Georgia,Troup,2002,"499,545","119,233"
13287,Georgia,Turner,2002,"885,762","229,462"
13289,Georgia,Twiggs,2002,"98,318","31,119"
13291,Georgia,Union,2002,"406,599","120,638"
13293,Georgia,Upson,2002,"842,311","224,071"
13295,Georgia,Walker,2002,"1,854,617","553,028"
13297,Georgia,Walton,2002,"1,359,467","415,769"
13299,Georgia,Ware,2002,"578,722","159,676"
13301,Georgia,Warren,2002,"367,543","96,305"
13303,Georgia,Washington,2002,"479,613","143,204"
13305,Georgia,Wayne,2002,"306,361","90,659"
13307,Georgia,Webster,2002,"232,499","67,051"
13309,Georgia,Wheeler,2002,"154,488","48,954"
13311,Georgia,White,2002,"2,163,964","703,050"
13313,Georgia,Whitfield,2002,"1,624,850","503,440"
13315,Georgia,Wilcox,2002,"1,012,934","304,890"
13317,Georgia,Wilkes,2002,"1,481,391","461,725"
13319,Georgia,Wilkinson,2002,"94,853","28,592"
13321,Georgia,Worth,2002,"782,395","195,702"
