Rowid_,FIPS,Y65,Y66,Y67,Y68,Y69,Y70,Y71,Y72,Y73,Y74,Y75,Y76,Y77,Y78,Y79,Y80,Y81,Y82,Y83,Y84,Y85,STATE
,34011,980283.8750000,924331.5000000,945932.5000000,1324279.0000000,907068.1250000,858126.3125000,950445.5000000,820620.3125000,981948.8750000,907900.6250000,874338.0000000,860185.6250000,860133.6250000,699560.3750000,753231.3750000,741841.8125000,707853.3125000,715423.8125000,594495.3125000,745745.0000000,717841.5000000,34
,34013,9366.2001953,8831.5996094,9038.0000000,12652.9003906,8666.7001953,8199.0000000,9081.0996094,7840.7001953,9382.0996094,8674.5996094,8353.9003906,8218.7001953,14001.2001953,11387.4003906,12261.0996094,12075.7001953,6507.7001953,6577.2998047,5465.5000000,6856.0000000,6599.5000000,34
,34015,844587.3750000,796380.3125000,814991.3125000,1140965.0000000,781506.6250000,739339.6250000,818879.5000000,707025.3750000,846022.0000000,782223.8750000,753307.3125000,741113.8750000,712520.3125000,579504.1250000,623964.3125000,614529.3125000,578631.8750000,584820.3125000,485967.9062500,609606.3125000,586796.6250000,34
,34017,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,34
,34019,784634.6250000,739849.5000000,757139.3125000,1059974.0000000,726031.6250000,686857.8125000,760751.6250000,656837.3750000,785967.3750000,726698.0000000,699833.8750000,688506.1250000,902352.3750000,733897.6250000,790202.8750000,778254.3125000,755331.6250000,763409.8125000,634370.3125000,795764.8125000,765989.8125000,34
,34021,476047.5937500,448875.9062500,459365.8125000,643099.3750000,440492.4062500,416725.1875000,461557.4062500,398511.4062500,476856.1875000,440896.8125000,424597.9062500,417725.3125000,515481.4062500,419249.3125000,451414.5000000,444588.6875000,459737.1875000,464654.0937500,386113.4062500,484347.0937500,466224.4062500,34
,34023,428696.1875000,404227.1875000,413673.8125000,579131.8125000,396677.5937500,375274.4062500,415647.4062500,358872.4062500,429424.3125000,397041.6875000,382364.0937500,376175.0937500,315771.3125000,256821.9062500,276525.5000000,272344.0937500,317454.6875000,320849.9062500,266616.4062500,334448.1875000,321934.1875000,34
,34025,711401.8125000,670796.5000000,686472.6250000,961042.6250000,658268.3750000,622750.8125000,689747.8125000,595532.3125000,712610.0000000,658872.5000000,634515.8125000,624245.3125000,718328.6250000,584228.3125000,629050.8125000,619538.8750000,648703.8750000,655641.8125000,544818.3125000,683429.3125000,657857.5000000,34
,34027,159451.7968750,150350.5937500,153864.2031250,215405.5937500,147542.5937500,139581.7968750,154598.2968750,133481.0937500,159722.5937500,147678.0000000,142218.7031250,139916.7031250,191391.7968750,155662.0000000,167604.5000000,165070.2031250,84508.0000000,85411.7968750,70974.6015625,89031.7031250,85700.3984375,34
,34029,81196.3984375,76561.8984375,78351.1015625,109689.3984375,75132.0000000,71078.1015625,78724.8984375,67971.6015625,81334.2968750,75200.8984375,72421.0000000,71248.7031250,64466.6015625,52431.6992188,56454.3007813,55600.6992188,39595.8984375,40019.3984375,33254.8984375,41715.5000000,40154.6015625,34
,34031,4751.0000000,4479.7998047,4584.5000000,6418.2001953,4396.1000977,4158.8999023,4606.3999023,3977.1999512,4759.0000000,4400.2001953,4237.5000000,4168.8999023,0.0000000,0.0000000,0.0000000,0.0000000,3116.3000488,3149.6999512,2617.3000488,3283.1999512,3160.3000488,34
,34033,1330612.0000000,1254664.0000000,1283984.0000000,1797542.0000000,1231231.0000000,1164798.0000000,1290110.0000000,1113889.0000000,1332872.0000000,1232361.0000000,1186804.0000000,1167594.0000000,1226621.0000000,997630.5000000,1074170.0000000,1057927.0000000,844728.3750000,853762.8125000,709450.8125000,889947.1250000,856648.0000000,34
,34035,307704.8125000,290141.6875000,296922.0937500,415682.6875000,284722.8125000,269360.3125000,298338.6875000,257587.4062500,308227.4062500,284984.0937500,274449.0937500,270006.6875000,435256.8125000,354001.3125000,381160.5937500,375397.0937500,337145.8125000,340751.5000000,283154.0937500,355193.3125000,341903.0937500,34
,34037,279628.8125000,263668.1875000,269829.9062500,377754.4062500,258743.7968750,244783.0000000,271117.3125000,234084.2968750,280103.6875000,258981.2968750,249407.4062500,245370.4062500,351124.0000000,285574.8125000,307484.3125000,302834.9062500,241302.9062500,243883.5937500,202659.7968750,254219.9062500,244707.7968750,34
,34039,4389.0000000,4138.5000000,4235.2001953,5929.2001953,4061.1999512,3842.1000977,4255.3999023,3674.1000977,4396.3999023,4064.8999023,3914.6000977,3851.3000488,3477.8999023,2828.6000977,3045.6000977,2999.6000977,2031.6999512,2053.5000000,1706.4000244,2140.5000000,2060.3999023,34
